phrase|type
accept amend|co-occurring
accept can|co-occurring
accept chairman|co-occurring
accept committe|co-occurring
accept gentleman|co-occurring
accept hope|co-occurring
accept hous|co-occurring
accept know|co-occurring
accept languag|co-occurring
accept manag|co-occurring
accept member|co-occurring
accept modif|co-occurring
accept mr|co-occurring
accept order|co-occurring
accept proposit|co-occurring
accept reject|co-occurring
accept rule|co-occurring
accept senat|co-occurring
accept side|co-occurring
accept statement|co-occurring
accept substitut|co-occurring
accept suggest|co-occurring
accept think|co-occurring
accept time|co-occurring
accept two|co-occurring
accept unanim|co-occurring
accept understand|co-occurring
accept us|co-occurring
accept voic|co-occurring
accept vote|co-occurring
accept want|co-occurring
accept will|co-occurring
accept word|co-occurring
accommod gentleman|co-occurring
accommod member|co-occurring
accommod senat|co-occurring
accompani bill|co-occurring
accompani confer|co-occurring
accompani document|co-occurring
accompani hous|co-occurring
accompani letter|co-occurring
accompani paper|co-occurring
accompani report|co-occurring
accompani resolut|co-occurring
accompani senat|co-occurring
accompani statement|co-occurring
accomplish amend|co-occurring
accomplish committe|co-occurring
accomplish exact|co-occurring
accomplish gentleman|co-occurring
accord 1|co-occurring
accord 10|co-occurring
accord 12|co-occurring
accord 2|co-occurring
accord 4|co-occurring
accord 5|co-occurring
accord action|co-occurring
accord agreement|co-occurring
accord amend|co-occurring
accord ask|co-occurring
accord committe|co-occurring
accord custom|co-occurring
accord decis|co-occurring
accord hous|co-occurring
accord instruct|co-occurring
accord judgment|co-occurring
accord member|co-occurring
accord preced|co-occurring
accord prioriti|co-occurring
accord privileg|co-occurring
accord read|co-occurring
accord recollect|co-occurring
accord request|co-occurring
accord resolv|co-occurring
accord rose|co-occurring
accord suggest|co-occurring
accord understand|co-occurring
accord usual|co-occurring
accord vote|co-occurring
account absenc|co-occurring
account amend|co-occurring
account ask|co-occurring
account committe|co-occurring
account hous|co-occurring
account sex|co-occurring
across mississippi|co-occurring
across missouri|co-occurring
act 1923|co-occurring
act 1930|co-occurring
act 1938|co-occurring
act 1942|co-occurring
act 1945|co-occurring
act 1946|co-occurring
act 1948|co-occurring
act 1949|co-occurring
act 1950|co-occurring
act 1951|co-occurring
act 1954|co-occurring
act 1961|co-occurring
act 42|co-occurring
act amendatori|co-occurring
act ask|co-occurring
act chair|co-occurring
act codifi|co-occurring
act consider|co-occurring
act desir|co-occurring
act district|co-occurring
act entitl|co-occurring
act excess|co-occurring
act insert|co-occurring
act instruct|co-occurring
act intellig|co-occurring
act joint|co-occurring
act leader|co-occurring
act line|co-occurring
act matter|co-occurring
act minor|co-occurring
act move|co-occurring
act nomin|co-occurring
act pend|co-occurring
act point|co-occurring
act print|co-occurring
act purpos|co-occurring
act pursuant|co-occurring
act question|co-occurring
act reach|co-occurring
act read|co-occurring
act regul|co-occurring
act relat|co-occurring
act relief|co-occurring
